;Definition;Type;Example;synonyms
a;"A is the first letter of the English alphabet.
";variable noun; A waiter entered with a tray.;
abandon;"If you abandon a place, thing, or person, you leave the place, thing, or person permanently or for
a long time, especially when you should not do so.
";verb; He claimed that his parents had abandoned him.;leave,strand,stop,drop,halt,dash,
ability;"Your ability to do something is the fact that you can do it.
";singular noun; The public never had faith in his ability to handle the job.;capability,power,potential,facility,skill,talent,gift,
able;"Someone who is able is very clever or very good at doing something.
";adjective; ...one of the brightest and ablest members of the government.;capable,experienced,fit,fitted,
abortion;"If a woman has an abortion, she ends her pregnancy deliberately so that the baby is not born alive.
";variable noun; His girlfriend had an abortion.;
about;"You use about to introduce who or what something relates to or concerns.
";preposition; She came in for a coffee, and told me about her friend Shona.;regarding,on,re,concerning,approximately,around,almost,round,around,around,present,active,stirring,
above;"If one thing is above another one, it is directly over it or higher than it.
";preposition; He lifted his hands above his head.;over,beyond,foregoing,preceding,earlier,previous,prior,over,exceeding,over,beyond,before,beyond,
abroad;"If you go abroad, you go to a foreign country, usually one which is separated from the country where
you live by an ocean or a sea.
";adverb; I would love to go abroad this year, perhaps to the South of France.;overseas,about,out,away,without,
absence;"Someone's absence from a place is the fact that they are not there.
";variable noun; ...a bundle of letters which had arrived for me in my absence.;leave,break,vacation,lack,defect,deficiency,default,
absolute;"Absolute means total and complete.
";adjective; It's not really suited to absolute beginners.;complete,total,perfect,entire,supreme,sovereign,unlimited,ultimate,definite,sure,certain,positive,universal,general,common,total,
absolutely;"Absolutely means totally and completely.
";adverb; Jill is absolutely right.;totally,perfectly,quite,definitely,surely,certainly,clearly,
absorb;"If something absorbs a liquid, gas, or other substance, it soaks it up or takes it in.
";verb; Plants absorb carbon dioxide from the air and moisture from the soil.;devour,assimilate,incorporate,accommodate,cushion,suppress,soften,pillow,engross,hold,involve,fill,
abuse;"Abuse of someone is cruel and violent treatment of them.
";uncountable noun; ...investigation of alleged child abuse.;blame,ill-treat,wrong,damage,hurt,insult,injure,offend,curse,exploit,manipulate,misuse,
academic;"Academic is used to describe things that relate to the work done in schools, colleges, and universities, especially work which involves studying and reasoning rather than practical or technical skills.
";adjective; Their academic standards are high.;scholarly,learned,intellectual,literary,studious,serious,intellectual,eager,scholar,intellectual,don,student,
accept;"If you accept something that you have been offered, you say yes to it or agree to take it.
";verb; Eventually Sam persuaded her to accept an offer of marriage.;receive,take,gain,acknowledge,believe,allow,admit,stand,take,experience,suffer,welcome,receive,greet,embrace,
access;"If you have access to a building or other place, you are able or allowed to go into it.
";uncountable noun; The facilities have been adapted to give access to wheelchair users.;admission,entry,passage,acquire,get,gather,obtain,
accident;"An accident happens when a vehicle hits a person, an object, or another vehicle, causing injury or damage.
";countable noun; She was involved in a serious car accident last week.;crash,smash,wreck,collision,misfortune,blow,disaster,tragedy,chance,fortune,luck,fate,
accompany;"If you accompany someone, you go somewhere with them.
";verb; Ken agreed to accompany me on a trip to Africa.;lead,partner,protect,supplement,
accomplish;"If you accomplish something, you succeed in doing it.
";verb; If we'd all work together, I think we could accomplish our goal.;realize,produce,effect,finish,
according;"in proportion; in relation";adjective;Moira Xaviera Pollock was thirty-two years old, a Pisces with Cancer rising and a Sagittarius moon, according to Jett.;
account;"If you have an account with a bank or a similar organization, you have an arrangement to leave your money
there and take some out when you need it.
";countable noun; Some banks make it difficult to open an account.;description,report,record,story,consider,rate,value,explain,
accurate;"Accurate information, measurements, and statistics are correct to a very detailed level. An accurate instrument is able to give you information of this kind.
";adjective;" Police have stressed that this is the most accurate description of the killer to
date.";precise,right,close,nice,precisely,absolutely,precisely,precisely,absolutely,exactly,on target,exact,precise,deadly,precisely,absolutely,
accuse;"If you accuse someone of doing something wrong or dishonest, you say or tell them that you believe that they did it.
";verb; He was accusing my mum of having an affair with another man.;allege,denounce,
achieve;"If you achieve a particular aim or effect, you succeed in doing it or causing it to happen, usually after a lot of effort.
";verb; There are many who will work hard to achieve these goals.;accomplish,reach,fulfil,finish,
achievement;"An achievement is something which someone has succeeded in doing, especially after a lot of effort.
";countable noun; Reaching this agreement so quickly was a great achievement.;fulfilment,performance,production,
acid;"An acid is a chemical substance, usually a liquid, which contains hydrogen and can react with other substances to form salts. Some acids burn or dissolve other substances that they come into contact with.
";variable noun; ...citric acid.;sharp,cutting,biting,severe,bitterly,
acknowledge;"If you acknowledge a fact or a situation, you accept or admit that it is true or that it exists.
";verb; We have to acknowledge that something is wrong with the system.;recognize,know,see,accept,answer,notice,recognize,greet,address,notice,recognize,
acquire;"If you acquire something, you buy or obtain it for yourself, or someone gives it to you.
";verb; He yesterday revealed he had acquired a 2.98 per cent stake in the company.;learn,master,grasp,
across;"If someone or something goes across a place or a boundary, they go from one side of it to the other.
";preposition; She walked across the floor and lay down on the bed.;over,past,beyond,throughout,over,
act;"When you act, you do something for a particular purpose.
";verb; The deaths occurred when police acted to stop widespread looting and vandalism.;perform,move,function,behave,react,work,serve,operate,function,perform,deed,action,step,performance,pretence,show,front,performance,law,bill,measure,resolution,performance,show,turn,production,
action;"Action is doing something for a particular purpose.
";uncountable noun; The government is taking emergency action to deal with a housing crisis.;measure,act,step,operation,deed,move,act,performance,lawsuit,case,cause,trial,effect,working,work,force,energy,activity,spirit,force,battle,war,fight,
active;"Someone who is active moves around a lot or does a lot of things.
";adjective; Having an active youngster about the house can be quite wearing.;busy,involved,occupied,engaged,energetic,strong,spirited,quick,in operation,working,live,running,
activist;"An activist is a person who works to bring about political or social changes by campaigning in public or working for an organization.
";countable noun; 55 Arctic foxes were released from a fur farm by animal rights activists.;militant,partisan,organizer,warrior,
activity;"Activity is a situation in which a lot of things are happening or being done.
";uncountable noun; ...an extraordinary level of activity in the government bonds market.;action,work,life,labour,
actor;"An actor is someone whose job is acting in plays or films. 'Actor' in the singular usually refers to a man, but some women who act prefer to be called 'actors' rather than ' actresses'.
";countable noun; His father was an actor in the Cantonese Opera Company.;performer,player,artiste,
actress;"An actress is a woman whose job is acting in plays or films. Some women who act prefer to be called ' actors' rather than 'actresses'.
";countable noun; She's a very great dramatic actress.;
actual;"You use actual to emphasize that you are referring to something real or genuine.
";adjective; The segments are filmed using either local actors or the actual people involved.;genuine,real,true,confirmed,real,concrete,definite,
actually;"You use actually to indicate that a situation exists or happened, or to emphasize that it is true.
";adverb; One afternoon, I grew bored and actually fell asleep for a few minutes.;
ad;"An ad is an advertisement.
";countable noun; She replied to a lonely hearts ad.;
adapt;"If you adapt to a new situation or adapt yourself to it, you change your ideas or behaviour in order to deal with it successfully.
";verb; The world will be different, and we will have to be prepared to adapt to the change.;adjust,change,match,alter,convert,change,prepare,fit,
add;"If you add one thing to another, you put it in or on the other thing, to increase, complete, or improve it.
";verb; Add the grated cheese to the sauce.;include,attach,supplement,total,reckon,go on,carry on,persist,
addition;"An addition to something is a thing which is added to it.
";countable noun;" Most would agree that this particular use of technology is a worthy addition to
the game.";extra,supplement,complement,adjunct,inclusion,extension,reckoning,
additional;"Additional things are extra things apart from the ones already present.
";adjective; The U.S. is sending additional troops to the region.;extra,more,new,other,
address;"Your address is the number of the house, flat, or apartment and the name of the street and the town where you live or work.
";countable noun; The address is 2025 M Street, Northwest, Washington, DC, 20036.;direct,send,post,mail,lecture,greet,hail,
adequate;"If something is adequate, there is enough of it or it is good enough to be used or accepted.
";adjective; One in four people worldwide are without adequate homes.;passable,acceptable,middling,average,
adjust;"When you adjust to a new situation, you get used to it by changing your behaviour or your ideas.
";verb; We have been preparing our fighters to adjust themselves to civil society.;adapt,change,settle,convert,change,order,reform,fix,modify,arrange,fix,
adjustment;"An adjustment is a small change that is made to something such as a machine or a way of doing something.
";countable noun; Compensation could be made by adjustments to taxation.;alteration,setting,change,
administration;"Administration is the range of activities connected with organizing and supervising the way that an organization or institution functions.
";uncountable noun; Too much time is spent on administration.;management,government,running,control,
administrator;"An administrator is a person whose job involves helping to organize and supervise the way that an organization or institution functions.
";countable noun;The school administrator would often scoff four bags of crisps driving home from work.;manager,head,official,director,
admire;"If you admire someone or something, you like and respect them very much.
";verb; I admired her when I first met her and I still think she's marvellous.;respect,value,prize,honour,appreciate,
admission;"Admission is permission given to a person to enter a place, or permission given to a country to enter an organization. Admission is also the act of entering a place.
";variable noun; Students apply for admission to a particular college.;admittance,access,entry,introduction,entry,entrance,confession,profession,declaration,
admit;"If you admit that something bad, unpleasant, or embarrassing is true, you agree, often unwillingly, that it is true.
";verb; I am willing to admit that I do make mistakes.;allow,agree,accept,reveal,allow,receive,accept,
adolescent;"Adolescent is used to describe young people who are no longer children but who have not yet become adults. It also refers to their behaviour.
";adjective; It is important that an adolescent boy should have an adult in whom he can confide.;immature,young,juvenile,
adopt;"If you adopt a new attitude, plan, or way of behaving, you begin to have it.
";verb; Parliament adopted a resolution calling for the complete withdrawal of troops.;follow,support,choose,choice,raise,nurse,select,choose,pick,nominate,
adult;"An adult is a mature, fully developed person. An adult has reached the age when they are legally
responsible for their actions.
";countable noun; Becoming a father signified that he was now an adult.;grown-up,
advance;"To advance means to move forward, often in order to attack someone.
";verb; The Allies began advancing on the city in 1943.;improve,rise,grow,develop,lend,loan,down payment,credit,fee,deposit,accelerate,speed,promote,suggest,offer,present,propose,attack,charge,strike,rush,prior,early,previous,beforehand,
advanced;"An advanced system, method, or design is modern and has been developed from an earlier version of the same thing.
";adjective; Without more training or advanced technical skills, they'll lose their jobs.;sophisticated,foremost,modern,revolutionary,
advantage;"An advantage is something that puts you in a better position than other people.
";countable noun;" They are deliberately flouting the law in order to obtain an advantage over their
competitors.";benefit,use,start,help,lead,control,edge,sway,superiority,good,worth,gain,
adventure;"If someone has an adventure, they become involved in an unusual, exciting, and rather dangerous journey or series of events.
";countable noun; I set off for a new adventure in the United States.;venture,experience,chance,risk,excitement,action,passion,thrill,venture,risk,brave,dare,
advertising;" Advertising is the activity of creating advertisements and making sure people see them.
";uncountable noun;Advertising agency services are an industrial supply.;promotion,marketing,hype,
advice;"If you give someone advice, you tell them what you think they should do in a particular situation.
";uncountable noun; Don't be afraid to ask for advice about ordering the meal.;instruction,notification,view,information,
advise;"If you advise someone to do something, you tell them what you think they should do.
";verb; The minister advised him to leave as soon as possible.;recommend,suggest,urge,counsel,notify,tell,report,announce,
adviser;"An adviser is an expert whose job is to give advice to another person or to a group of people.
";countable noun; In Washington, the President and his advisers spent the day in meetings.;authority,teacher,coach,
advocate;"If you advocate a particular action or plan, you recommend it publicly.
";verb; Mr Williams is a conservative who advocates fewer government controls on business.;recommend,support,champion,encourage,supporter,champion,defender,
affair;"If an event or a series of events has been mentioned and you want to talk about it again, you can refer to it as the affair.
";singular noun; The government has mishandled the whole affair.;matter,thing,business,question,occasion,happening,experience,event,concern,problem,business,matter,
affect;"If something affects a person or thing, it influences them or causes them to change in some way.
";verb; Nicotine adversely affects the functioning of the heart and arteries.;influence,involve,concern,impact,touch,upset,overcome,assume,adopt,pretend,
afford;"If you cannot afford something, you do not have enough money to pay for it.
";verb; My parents can't even afford a new refrigerator.;manage,bear,bear,stand,sustain,
afraid;"If you are afraid of someone or afraid to do something, you are frightened because you think that something very unpleasant is going to happen to you.
";adjective; She did not seem at all afraid.;scared,frightened,nervous,anxious,anxious,concerned,worried,troubled,
African;"African means belonging or relating to the continent of Africa, or to its countries or people.
";adjective; ...the African continent.;
African-American;"African-Americans are Black people living in the United States who are descended from families that originally came from Africa.
";countable noun; Today African-Americans are 12 percent of the population.;
after;"If something happens after a particular date or event, it happens during the period of time that follows that date or event.
";preposition; After 19 May, strikes were occurring on a daily basis.;following,barring,
afternoon;"The afternoon is the part of each day which begins at lunchtime and ends at about six o'clock.
";variable noun; He's arriving in the afternoon.;
again;"You use again to indicate that something happens a second time, or after it has already happened before.
";adverb; He kissed her again.;anew,afresh,also,moreover,besides,
against;"If one thing is leaning or pressing against another, it is touching it.
";preposition; She leaned against him.;beside,on,opposing,counter,versus,
age;"Your age is the number of years that you have lived.
";variable noun; She has a nephew who is just ten years of age.;old age,experience,maturity,completion,decline,weather,fade,mature,season,condition,soften,time,period,generation,forever,
